date,total
2013-02-21,650
2013-02-22,619
2013-02-24,11
2013-02-25,645
2013-02-26,906
2013-02-27,1156
2013-02-28,1131
2013-03-01,492
2013-03-02,1
2013-03-03,1
2013-03-04,572
2013-03-05,645
2013-03-06,613
2013-03-07,335
2013-03-08,585
2013-03-09,1
2013-03-10,1
2013-03-11,523
2013-03-12,619
2013-03-13,541
2013-03-14,587
2013-03-15,584
2013-03-16,23
2013-03-17,4
2013-03-18,539
2013-03-19,489
2013-03-20,654
2013-03-21,621
2013-03-22,662
2013-03-23,2
2013-03-25,796
2013-03-26,1205
2013-03-27,1354
2013-03-28,1343
2013-03-29,2
2013-03-30,4
2013-03-31,9
